SongName,CatBoxLink,GroupName,AlbumName,ArtistId,SongId,Duration,releasedate,issolo,Gender
It Girl,https://files.catbox.moe/ikyskm.webm,Apink,https://catbox.moe/c/o24kvh,18,15699,209.46,2011-06-21,n,female
LUV,https://files.catbox.moe/kod6li.webm,Apink,https://catbox.moe/c/o24kvh,18,469,242.58,2014-11-23,n,female
Miracle,https://files.catbox.moe/t42pvj.webm,Apink,https://catbox.moe/c/o24kvh,18,2499,256.58,2018-04-19,n,female
Motto Go!Go!,https://files.catbox.moe/9ob9x0.webm,Apink,https://catbox.moe/c/o24kvh,18,2152,206.02,2017-07-06,n,female
Mr.Chu,https://files.catbox.moe/89qsrl.webm,Apink,https://catbox.moe/c/o24kvh,18,470,205.16,2014-03-30,n,female
My My,https://files.catbox.moe/hq4r5p.webm,Apink,https://catbox.moe/c/o24kvh,18,672,252.96,2011-11-22,n,female
NoNoNo,https://files.catbox.moe/6f3tog.webm,Apink,https://catbox.moe/c/o24kvh,18,1347,224.38,2013-07-05,n,female
Only One,https://files.catbox.moe/l2h31n.webm,Apink,https://catbox.moe/c/o24kvh,18,9792,192.84,2016-09-25,n,female
Orion,https://files.catbox.moe/78fav2.webm,Apink,https://catbox.moe/c/o24kvh,18,2323,217.74,2017-10-27,n,female
Petal,https://files.catbox.moe/ismtwy.webm,Apink,https://catbox.moe/c/o24kvh,18,952,220.04,2015-08-03,n,female
promise U,https://files.catbox.moe/sivsdo.webm,Apink,https://catbox.moe/c/o24kvh,18,744,226.2,2015-04-18,n,female
Remember,https://files.catbox.moe/11bnjv.webm,Apink,https://catbox.moe/c/o24kvh,18,864,248.72,2015-07-15,n,female
Secret Garden,https://files.catbox.moe/e5v01s.webm,Apink,https://catbox.moe/c/o24kvh,18,673,245.14,2013-07-19,n,female
Thank you,https://files.catbox.moe/4erbue.webm,Apink,https://catbox.moe/c/o24kvh,18,12055,240.72,2021-04-19,n,female
The wave,https://files.catbox.moe/sktg9h.webm,Apink,https://catbox.moe/c/o24kvh,18,1570,259.02,2016-04-18,n,female
