id,id_parent,nome,vtype,vlink,id_artist,publishedon,views,likes,dislikes,lastupdate,recentviews,recentlikes,promoted,dead,promotedviews
5108,476,"Number Nine",alternate,nj2IWg5sjFc,193,2013-10-09,1056290,0,0,"2016-01-02 00:00:00",0,0,n,y,0
5110,0,Hush,main,F7SFr9dJrw4,18,2012-05-08,15273017,0,0,"2016-01-22 00:00:00",0,0,n,y,0
5111,945,"Sugar Free",duplicate,FsjwG3FQna4,193,2014-09-10,9005090,0,0,"2016-01-02 00:00:00",0,0,n,y,0
5112,0,"Do you know me?",main,13liCVKl3Xg,193,2013-12-02,5712265,0,0,"2016-01-02 00:00:00",0,0,n,y,0
5113,831,"Heart Attack",duplicate,brUyoeiEha4,16,2015-06-23,7881734,57355,0,"2018-07-25 22:23:08",17676,0,n,y,0
5114,0,"Glass Bead",main,IxnD5AViu6k,76,2015-01-14,25472424,138764,2387,"2019-10-29 17:28:38",0,0,n,y,0
5115,856,"Glass Bead",alternate,Kdnlim4XDww,76,2015-01-18,4777363,33955,0,"2017-11-09 00:00:00",0,0,n,y,0
5116,898,Replay,duplicate,DocBfPIgk70,172,2010-01-13,3252913,40724,0,"2017-11-09 00:00:00",0,0,n,y,0
5117,0,"Chitty Chitty Bang Bang",main,gzAHCDBXRM0,129,2010-04-20,2412326,10575,0,"2016-04-13 00:00:00",0,0,n,y,0
5118,584,Lollipop,duplicate,Wee4TOi-mkc,29,2009-07-14,3243416,10299,0,"2016-06-30 00:00:00",0,0,n,y,0
5119,927,"No Other",duplicate,ucsoXkwI8v4,189,2011-07-06,5237507,48204,0,"2017-11-08 00:00:00",0,0,n,y,0
5120,0,"Me Gustas Tu",main,m-CKVr6Z1Tw,76,2015-07-22,45479101,257921,4578,"2019-10-29 17:25:56",0,0,n,y,0
5121,0,"U You",main,uBezVQweeUE,18,2013-09-02,10000835,0,0,"2016-01-13 00:00:00",0,0,n,y,0
5122,0,Mazeltov,main,LTkJ9UK3JsQ,224,2010-01-13,2450652,10032,0,"2016-03-25 00:00:00",0,0,n,y,0
5123,5496,Downpour,duplicate,_AADHVsit4A,94,2017-01-17,18086883,302538,4784,"2019-03-29 05:57:28",14080,0,n,y,0
5124,1046,"I Don't Care",alternate,MOY8t8rI6dY,4,2011-07-18,1628347,4898,0,"2018-12-18 23:22:23",176,0,n,y,0
5125,1052,"Bar Bar Bar",alternate,2eZHdYWhd-E,47,2013-09-08,11354591,63468,12070,"2019-05-23 04:30:32",47,0,n,y,0
5126,0,"Zero Gravity",main,P6smRvfNDL4,226,2015-03-22,3712745,18404,228,"2019-09-13 16:20:44",354,0,n,y,0
5127,2278,"Aalow Aalow",alternate,o3C_frwl79A,125,2015-12-01,2207744,19283,0,"2017-09-05 00:00:00",0,0,n,y,0
5128,0,"What About You",main,gJhZCQMEc68,125,2014-10-30,1552471,21228,0,"2017-09-05 00:00:00",0,0,n,y,0
5129,0,"Sugar Sugar",main,JrSrXr5E7P0,125,2015-03-25,1634115,19886,0,"2017-09-05 00:00:00",0,0,n,y,0
5130,0,Pit-a-pat,main,E4nmCtkuqBw,125,2014-08-27,1433230,13998,0,"2018-06-21 00:00:00",0,0,n,y,0
5131,125,Gee,alternate,5VsSR2gf400,78,2011-06-02,1077592,14357,0,"2018-12-18 23:50:07",0,0,n,y,0
5132,0,"Love Again",main,LDGO2nVf_dM,132,2015-09-21,31336169,59915,3740,"2019-06-11 15:08:18",5201,0,n,y,0
5133,0,"Christmas Time",main,FStAvutcs2s,38,2016-12-04,345234,10309,0,"2018-05-25 00:00:00",0,0,n,y,0
5134,303,"Sorry Sorry",duplicate,4okKSigjyc4,189,2011-07-06,8391904,65257,0,"2017-11-08 00:00:00",0,0,n,y,0
5135,0,"Tough Cookie",main,P2RLb-RryEs,225,2014-11-06,4536985,104090,0,"2018-07-20 11:37:36",1650,0,n,y,0
5136,5797,"Bad Girl",duplicate,DST5IaPEv8g,126,2013-03-06,5354992,42488,0,"2018-10-04 09:13:14",779,0,n,y,0
5137,5798,"Hate You",duplicate,VSOJl19-qIM,126,2013-08-05,1878229,30560,0,"2018-10-04 09:13:38",252,0,n,y,0
5138,0,"It's You",main,1aytj6JjvE8,189,2011-07-06,2357237,28616,0,"2017-11-09 00:00:00",0,0,n,y,0
5139,0,"I like you",main,sV0G6XrUPA8,66,2016-04-06,1759734,6619,0,"2018-03-27 00:00:00",0,0,n,y,0
5140,2975,"Dream Girls",duplicate,1BVV9UqELbA,94,2016-05-03,32961925,227280,5781,"2019-03-29 05:57:29",4051,0,n,y,0
5141,2976,"Whatta Man (Good man)",duplicate,fOn5tSagerY,94,2016-08-08,47484910,406012,3997,"2019-10-29 17:27:44",7982,0,n,y,0
5142,0,"No oh oh",main,GoV7B9K23ts,45,2016-05-29,4947002,72287,0,"2018-12-30 23:52:09",855,0,n,y,0
5143,0,"High Heels",main,eyPSsQcmgiA,45,2016-03-21,1628542,24764,0,"2019-08-07 16:52:00",242,0,n,y,0
5144,0,Sniper,main,nbgv1aqv2QQ,173,2015-02-25,3410765,47592,0,"2017-06-04 00:00:00",0,0,n,y,0
5145,0,"This love",main,e6HQSh9w-kY,173,2013-05-15,3256938,42649,0,"2017-06-04 00:00:00",0,0,n,y,0
5146,0,Venus,main,1qWVQMbmk2U,173,2012-03-28,4774152,52726,0,"2017-06-04 00:00:00",0,0,n,y,0
5147,0,Memory,main,Z2ZgeXLYjjw,173,2015-02-02,432211,7021,0,"2017-06-04 00:00:00",0,0,n,y,0
5148,2974,"Very Very Very",duplicate,l1hxg1rY17I,94,2016-10-16,80770753,636251,7744,"2019-10-29 17:26:49",50321,0,n,y,0
5149,0,"Oh Ma Mind",main,piq4u-3o0SI,233,2016-05-02,513987,12058,543,"2019-04-18 13:51:02",29,0,n,y,0
5150,3328,"Vanilla Shake",duplicate,A9NiKZUWCLI,235,2015-07-19,1754628,18325,0,"2018-11-25 20:37:40",319,0,n,y,0
5151,3959,"Oh My God",duplicate,kqEPlcg5z5c,235,2013-11-13,2698158,21874,0,"2018-11-25 20:38:27",378,0,n,y,0
5152,0,"Cinderella Time",main,MpjFI5a4tFA,235,2015-03-25,1542479,19127,0,"2018-11-25 20:40:28",230,0,n,y,0
5153,3295,"My student teacher",duplicate,byAJFo8CdAY,235,2013-08-13,6170102,65420,0,"2018-12-04 17:22:02",1280,0,n,y,0
5154,3327,"Next station",duplicate,e30cRq4qutU,235,2016-10-27,478439,7268,0,"2018-11-25 20:41:02",68,0,n,y,0
5155,3958,"I'm different",duplicate,9PslH9FYQQg,235,2014-04-08,1725497,13721,0,"2018-11-25 20:39:52",188,0,n,y,0
5156,3957,"Coming Soon",duplicate,Qv_aYbHOS98,235,2015-01-04,2252227,15012,0,"2018-11-25 20:40:26",303,0,n,y,0
5157,0,Seoul,main,C9fhDmWVNDI,129,2017-06-29,127729,0,0,"2017-12-04 00:00:00",0,0,n,y,0
5158,5630,"Love Me",duplicate,hhLC34t6ruc,254,2017-06-30,352839,7279,0,"2018-11-25 23:48:38",112,0,n,y,0
5159,0,"Brand new days",main,nQNRxO3LucI,38,2017-08-21,758572,27760,0,"2018-05-27 00:00:00",0,0,n,y,0
5160,6055,"Vanishing Paycheck",duplicate,-rSqW5ojE5A,317,2017-04-29,643475,14687,0,"2019-02-19 10:08:26",804,0,n,y,0
5161,0,Alright,main,u0n6qkMtYuo,317,2017-06-24,220582,6149,0,"2019-02-12 17:13:22",158,0,n,y,0
5162,6084,Colors,duplicate,ZxgOyQ0OLzI,317,2017-03-05,238543,8278,0,"2020-04-25 19:26:21",186,0,n,y,0
5163,0,"She's in the rain",main,xBrTNZ5tRTQ,275,2018-10-04,663534,105254,0,"2018-10-19 17:16:34",18936,0,n,y,0
5164,0,"Every Moment",main,sLwNmuKvVOg,356,2018-04-26,248301,5554,37,"2019-10-06 20:48:19",35,1,n,y,0
5165,0,"Hello it's me",main,k0YXPymM6Us,364,2013-01-27,2507208,6597,0,"2019-01-02 22:15:44",419,0,n,y,0
5166,0,"A Funny but sad day",main,sXkZgR9gS24,374,2015-12-08,932644,10239,0,"2019-02-12 17:17:17",275,0,n,y,0
5167,2381,"Pink Label",dance,vwAVOG4fUMk,282,2017-12-17,2034622,25542,0,"2018-12-26 03:45:57",10190,0,n,y,0
5168,0,"Oh Yeah",main,sa46q6JOYB4,140,2009-10-28,4941493,37010,617,"2019-08-12 12:00:48",278,0,n,y,0
5169,3651,"Sudden Shower",duplicate,SdMbg2rqXts,404,2018-03-22,2518472,59098,313,"2019-04-16 21:08:18",1793,0,n,y,0
5170,0,"No way",main,Eu58pRwNYM8,407,2017-11-16,1329066,33150,0,"2019-02-21 06:57:40",202,0,n,y,0
5171,0,VVV,main,b83iEHH_UTU,418,2017-07-17,919436,49367,5176,"2019-06-06 00:16:44",243,0,n,y,0
5172,0,N.E.W.S,main,KGFV-mC0r2E,418,2018-10-30,1136152,90420,468,"2019-11-23 16:52:18",1339,0,n,y,0
5173,0,"Don't be Pretty",main,HSPGFCv4BTA,418,2018-01-31,680783,30981,411,"2019-06-06 00:17:18",191,0,n,y,0
5174,3722,N.E.W.S,alternate,6okqEvuHVEo,418,2018-11-03,63888,8637,27,"2019-06-07 00:33:16",58,0,n,y,0
5175,0,"Way back home",main,zzBNUmwXzik,422,2018-07-23,4985128,39944,0,"2019-03-22 10:58:00",47065,0,n,y,0
